"SKU";"url_identifier";"filename";"tipo";"status";"producto"
"GLC-001";"glock-17-gen3-9mm";"glock-17-gen3-9mm.jpg";"exacta";"existente";"Glock 17 gen3 9mm"
"GLC-002";"glock-17-gen5-9mm";"glock-17-gen5-9mm.jpg";"exacta";"existente";"Glock 17 gen5 9mm"
"GLC-003";"glock-19-gen5-9mm";"glock-19-gen5-9mm.jpg";"exacta";"existente";"Glock 19 gen5 9mm"
"GLC-004";"glock-19-gen4-9mm";"glock-19-gen4-9mm.jpg";"exacta";"existente";"Glock 19 gen4 9mm"
"GLC-005";"glock-19x-arena-9mm";"glock-19x-arena-9mm.jpg";"exacta";"existente";"Glock 19x arena 9mm"
"GLC-006";"glock-21-gen4-45acp";"glock-21-gen4-45acp.jpg";"exacta";"existente";"Glock 21 gen4 45ACP"
"GLC-007";"glock-22-gen4-40s-w";"glock-22-gen4-40s-w.jpg";"exacta";"existente";"Glock 22 gen4 40S&W"
"GLC-008";"glock-25-380acp";"glock-25-380acp.jpg";"exacta";"existente";"Glock 25 380ACP"
"GLC-009";"glock-30-gen4-45acp";"glock-30-gen4-45acp.jpg";"exacta";"existente";"Glock 30 gen4 45ACP"
"GLC-010";"glock-30s-45acp";"glock-30s-45acp.jpg";"exacta";"existente";"Glock 30s 45ACP"
"GLC-011";"glock-35-gen4-40s-w";"glock-35-gen4-40s-w.jpg";"exacta";"existente";"Glock 35 gen4 40S&W"
"GLC-012";"glock-43-gen4-9mm";"glock-43-gen4-9mm.jpg";"exacta";"existente";"Glock 43 gen4 9mm"
"GLC-013";"glock-44-gen4-22lr";"glock-44-gen4-22lr.jpg";"exacta";"existente";"Glock 44 gen4 22LR"
"GLC-014";"glock-45mos-gen4-9mm";"glock-45mos-gen4-9mm.jpg";"exacta";"existente";"Glock 45mos gen4 9mm"
"GLC-015";"glock-45compacta-9mm";"glock-45compacta-9mm.jpg";"exacta";"existente";"Glock 45compacta 9mm"
"GLC-016";"glock-48-9mm";"glock-48-9mm.jpg";"exacta";"existente";"Glock 48 9mm"
"GLC-017";"glock-48-dt-9mm";"glock-48-dt-9mm.jpg";"exacta";"existente";"Glock 48 dt 9mm"
"BER-018";"bersa-tpr9cx-fde";"bersa-tpr9cx-fde.jpg";"exacta";"existente";"Bersa TPR9CX FDE 9mm"
"BER-019";"bersa-tpr9x-cerakote";"bersa-tpr9x-cerakote.jpg";"exacta";"existente";"Bersa TPR9X Cerakote OD c/caño rosca 9mm"
"BER-020";"bersa-tpr9-cerakote";"bersa-tpr9-cerakote.jpg";"exacta";"existente";"Bersa TPR9 Cerakote Bright 9mm"
"BER-021";"bersa-tpr9-duo";"bersa-tpr9-duo.jpg";"exacta";"existente";"Bersa TPR9 Duo Tono 9mm"
"BER-022";"bersa-tpr9-cl";"bersa-tpr9-cl.jpg";"exacta";"existente";"Bersa TPR9 CL 9mm"
"BER-023";"bersa-bp9cc-fde";"bersa-bp9cc-fde.jpg";"exacta";"existente";"Bersa BP9CC FDE Optics Ready Pavon 9mm"
"BER-025";"bersa-bp9cc-flat";"bersa-bp9cc-flat.jpg";"exacta";"existente";"Bersa BP9CC Flat Dark Earth 9mm"
"BER-026";"bersa-bp9-fs";"bersa-bp9-fs.jpg";"exacta";"existente";"Bersa BP9 FS OD FDE 9mm"
"TAU-029";"taurus-m825-pm-38spl-pavonado";"taurus-m825-pm-38spl-pavonado.jpg";"exacta";"existente";"Taurus M825 PM 38SPL Pavonado"
"TAU-030";"taurus-627-cp-357m-inox";"taurus-627-cp-357m-inox.jpg";"exacta";"existente";"Taurus 627 CP 357M Inox"
"TAU-031";"taurus-627-im-357m-inox";"taurus-627-im-357m-inox.jpg";"exacta";"existente";"Taurus 627 IM 357M Inox"
"TAU-032";"taurus-856-ul-38sp-pavonado";"taurus-856-ul-38sp-pavonado.jpg";"exacta";"existente";"Taurus 856 UL 38SP Pavonado"
"TAU-033";"taurus-m96-22lr-pavonado";"taurus-m96-22lr-pavonado.jpg";"exacta";"existente";"Taurus M96 22LR Pavonado"
"TAU-034";"taurus-m992-22lr-22mag-inox-mate";"taurus-m992-22lr-22mag-inox-mate.jpg";"exacta";"existente";"Taurus M992 22LR/22MAG Inox/Mate"
"TAU-035";"taurus-m444-ig-44mg-inox";"taurus-m444-ig-44mg-inox.jpg";"exacta";"existente";"Taurus M444 IG 44MG Inox"
"TAU-036";"taurus-m855-38sp-pavonado";"taurus-m855-38sp-pavonado.jpg";"exacta";"existente";"Taurus M855 38SP Pavonado"
"TAU-037";"taurus-m94-22lr-inox";"taurus-m94-22lr-inox.jpg";"exacta";"existente";"Taurus M94 22LR Inox"
"TAU-038";"taurus-m85-38sp-pavonado";"taurus-m85-38sp-pavonado.jpg";"exacta";"existente";"Taurus M85 38SP Pavonado"
"TAU-039";"taurus-commander-1911";"taurus-commander-1911.jpg";"exacta";"existente";"Taurus Commander 1911 - 9mm Pavonado mate"
"TAU-042";"taurus-g3c";"taurus-g3c.jpg";"exacta";"existente";"Taurus G3C - 9mm Inox/Marrón"
"TAU-046";"taurus-mth40c-40-s-w-pavonado";"taurus-mth40c-40-s-w-pavonado.jpg";"exacta";"existente";"Taurus MTH40C 40 S&W Pavonado"
"TAU-047";"taurus-g2c";"taurus-g2c.jpg";"exacta";"existente";"Taurus G2C - 9mm Pavonado/Gris"
"TAU-049";"taurus-mts9-9mm-pavonada";"taurus-mts9-9mm-pavonada.jpg";"exacta";"existente";"Taurus MTS9 9mm Pavonada"
"BEP-050";"beretta-9x9";"beretta-9x9.jpg";"exacta";"existente";"Beretta 9x9 - Pavonada"
"BEP-052";"beretta-apx-pavonada";"beretta-apx-pavonada.jpg";"exacta";"existente";"Beretta APX 9mm Pavonada"
"BEP-053";"beretta-92-compact-pavonada";"beretta-92-compact-pavonada.jpg";"exacta";"existente";"Beretta 92 Compact 9mm Pavonada"
"BEP-054";"beretta-9x9-storm-subcompact-pavonada";"beretta-9x9-storm-subcompact-pavonada.jpg";"exacta";"existente";"Beretta 9x9 Storm Subcompact 9mm Pavonada"
"BEP-055";"beretta-apx-cany";"beretta-apx-cany.jpg";"exacta";"existente";"Beretta APX Cany - Pavonada"
"BEP-057";"beretta-apx-compact-pavonada";"beretta-apx-compact-pavonada.jpg";"exacta";"existente";"Beretta APX Compact 9mm Pavonada"
"BEP-058";"beretta-u22-neos-inox";"beretta-u22-neos-inox.jpg";"exacta";"existente";"Beretta U22 NEOS 9mm Inox"
"BEP-059";"beretta-92fs-pavonada";"beretta-92fs-pavonada.jpg";"exacta";"existente";"Beretta 92FS 9mm Pavonada"
"BEP-060";"beretta-3032-tomcat-pavonada";"beretta-3032-tomcat-pavonada.jpg";"exacta";"existente";"Beretta 3032 Tomcat 9mm Pavonada"
"BEP-061";"beretta-apx-ai-estandar";"beretta-apx-ai-estandar.jpg";"exacta";"existente";"Beretta APX AI 9mm Estándar"
"BES-062";"beretta-a300-ultim-black-culata-sintetica";"beretta-a300-ultim-black-culata-sintetica.jpg";"exacta";"existente";"Beretta A300 Ultim Black CULATA-SINTETICA Cal. 12"
"BES-063";"beretta-a400-lite-camo";"beretta-a400-lite-camo.jpg";"exacta";"existente";"Beretta A400 Lite CAMO Cal. 12"
"BES-064";"beretta-a400-lite-sintetico";"beretta-a400-lite-sintetico.jpg";"exacta";"existente";"Beretta A400 Lite SINTETICO Cal. 12"
"BES-065";"beretta-1301-tactical-fde";"beretta-1301-tactical-fde.jpg";"exacta";"existente";"Beretta 1301 Tactical FDE Cal. 12"
"BES-066";"beretta-brxi-cal-300-winchester";"beretta-brxi-cal-300-winchester.jpg";"exacta";"existente";"Beretta BRXI CAL-300-WINCHESTER Cal. 12"
